team,year,venue,lat,lon,matches,runs,fours,sixes,two_hundreds,ten_wickets,wickets,wins,toss_wins,abb
Deccan Chargers,2008,Dr DY Patil Sports Academy,19.0421,73.0267,1,155,13,11,0,0,7,1,1,deccan
Deccan Chargers,2008,Eden Gardens,22.564561349999998,88.34424156337812,1,110,6,6,0,0,5,0,1,deccan
Deccan Chargers,2008,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,153,15,5,0,0,8,0,1,deccan
Deccan Chargers,2008,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,148,15,7,0,0,7,1,1,deccan
Deccan Chargers,2008,Punjab Cricket Association Stadium,30.6909,76.7375,1,175,14,9,0,0,4,0,0,deccan
Deccan Chargers,2008,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,7,1166,112,42,1,0,30,0,4,deccan
Deccan Chargers,2008,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,140,15,3,0,0,2,0,0,deccan
Deccan Chargers,2009,Buffalo Park,-33.006837149999996,27.91952640427005,1,100,6,6,0,0,3,0,0,deccan
Deccan Chargers,2009,De Beers Diamond Oval,-28.74264205,24.796774571818183,2,334,17,17,0,1,17,1,1,deccan
Deccan Chargers,2009,Hollywoodbets Kingsmead Stadium,29.8488,31.0271,3,498,38,21,0,0,20,2,3,deccan
Deccan Chargers,2009,New Wanderers Stadium,-32.91882375,151.72649568715264,3,442,35,14,0,0,21,2,2,deccan
Deccan Chargers,2009,Newlands,55.8171461,-4.2804376,2,288,20,16,0,1,18,2,1,deccan
Deccan Chargers,2009,St George's Park,-33.965769550000005,25.60733242183312,1,141,11,5,0,0,7,0,1,deccan
Deccan Chargers,2009,SuperSport Park,-25.85962375,28.195644468871414,4,605,46,20,0,0,24,2,2,deccan
Deccan Chargers,2010,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,145,12,6,0,0,7,1,1,deccan
Deccan Chargers,2010,Barabati Stadium,20.48070435,85.86852541310051,2,341,28,16,0,0,17,2,1,deccan
Deccan Chargers,2010,Brabourne Stadium,18.9320101,72.82501261609113,1,115,8,1,0,0,5,0,0,deccan
Deccan Chargers,2010,Dr DY Patil Sports Academy,19.0421,73.0267,4,467,37,14,0,0,19,0,3,deccan
Deccan Chargers,2010,Eden Gardens,22.564561349999998,88.34424156337812,1,157,18,2,0,0,6,0,0,deccan
Deccan Chargers,2010,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,178,17,7,0,0,3,1,1,deccan
Deccan Chargers,2010,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,186,17,8,0,0,6,1,1,deccan
Deccan Chargers,2010,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,190,18,8,0,0,9,1,1,deccan
Deccan Chargers,2010,Narendra Modi Stadium,23.0917717,72.59733447335586,1,148,8,6,0,0,2,0,1,deccan
Deccan Chargers,2010,Vidarbha Cricket Association Stadium,21.0135768,79.03963196096828,3,447,34,16,0,2,28,2,0,deccan
Deccan Chargers,2011,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,168,20,3,0,0,7,1,1,deccan
Deccan Chargers,2011,Dr DY Patil Sports Academy,19.0421,73.0267,1,138,10,4,0,0,9,1,1,deccan
Deccan Chargers,2011,Eden Gardens,22.564561349999998,88.34424156337812,1,154,13,5,0,0,4,0,0,deccan
Deccan Chargers,2011,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,198,19,4,0,1,10,1,0,deccan
Deccan Chargers,2011,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,146,10,5,0,0,5,0,0,deccan
Deccan Chargers,2011,Nehru Stadium,9.59621265,76.5261459003151,1,129,13,1,0,1,10,1,0,deccan
Deccan Chargers,2011,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,7,1072,100,22,0,0,31,1,3,deccan
Deccan Chargers,2011,Wankhede Stadium,18.9385497,72.82574081674653,1,135,9,4,0,0,8,1,1,deccan
Deccan Chargers,2012,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,157,15,3,0,0,5,0,1,deccan
Deccan Chargers,2012,Barabati Stadium,20.48070435,85.86852541310051,2,312,25,8,0,0,10,1,1,deccan
Deccan Chargers,2012,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,181,15,9,0,0,5,0,0,deccan
Deccan Chargers,2012,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,150,14,3,0,0,6,0,0,deccan
Deccan Chargers,2012,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,1,177,11,8,0,0,7,1,1,deccan
Deccan Chargers,2012,Punjab Cricket Association Stadium,30.6909,76.7375,1,190,15,6,0,0,6,0,1,deccan
Deccan Chargers,2012,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,4,592,50,19,0,0,23,2,2,deccan
Deccan Chargers,2012,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,196,18,7,0,0,5,0,1,deccan
Deccan Chargers,2012,Wankhede Stadium,18.9385497,72.82574081674653,1,100,8,2,0,0,5,0,0,deccan
Delhi Capitals,2008,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,6,1001,109,27,0,0,39,4,2,delhi
Delhi Capitals,2008,Dr DY Patil Sports Academy,19.0421,73.0267,1,133,9,5,0,0,8,0,1,delhi
Delhi Capitals,2008,Eden Gardens,22.564561349999998,88.34424156337812,1,110,13,0,0,0,6,0,0,delhi
Delhi Capitals,2008,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,158,19,3,0,0,7,1,1,delhi
Delhi Capitals,2008,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,172,16,5,0,0,6,1,0,delhi
Delhi Capitals,2008,Punjab Cricket Association Stadium,30.6909,76.7375,1,158,18,2,0,0,6,0,1,delhi
Delhi Capitals,2008,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,143,15,6,0,0,8,1,0,delhi
Delhi Capitals,2008,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,156,10,5,0,0,7,0,0,delhi
Delhi Capitals,2008,Wankhede Stadium,18.9385497,72.82574081674653,1,87,9,1,0,0,9,0,1,delhi
Delhi Capitals,2009,Buffalo Park,-33.006837149999996,27.91952640427005,1,118,11,2,0,1,10,1,0,delhi
Delhi Capitals,2009,Hollywoodbets Kingsmead Stadium,29.8488,31.0271,3,519,49,16,0,1,22,3,1,delhi
Delhi Capitals,2009,New Wanderers Stadium,-32.91882375,151.72649568715264,3,404,36,6,0,1,21,1,3,delhi
